page_id,total_ads,estimated_audience_size_mean,estimated_audience_size_median,estimated_audience_size_sum,estimated_impressions_mean,estimated_impressions_median,estimated_impressions_sum,estimated_spend_mean,estimated_spend_median,estimated_spend_sum,advocacy_msg_type_illuminating_<lambda>,issue_msg_type_illuminating_<lambda>,covid_topic_illuminating_mean,economy_topic_illuminating_mean,education_topic_illuminating_mean
0005687f4ac876c135dda2bd5aa60962eced3356228ef01c21c514d263a11128,2,5250.0,5250.0,10500,3999.0,3999.0,7998,49.0,49.0,98,0,0,0.0,0.0,0.0
00157b7e28846e0510e1d265c5ea72fea289d9a3e31a91bb3ed242d8b17f4cd8,3,12683.33,7500.0,38050,32999.0,27499.0,98997,1415.67,1249.0,4247,1,1,0.0,0.0,0.0
002415d34a27e69e6b9c0a2d1b0b8b99aacddf88c766ce1e8b897f69cbd3c928,1,300000.0,300000.0,300000,1499.0,1499.0,1499,49.0,49.0,49,0,0,1.0,0.0,0.0
002a7fde0f1b2e9116e80f42d7dfea04ccdd61308dc5cc84b53d4262fcc9a2f2,4,1000001.0,1000001.0,4000004,15249.0,17499.0,60996,49.0,49.0,196,1,1,0.0,0.0,0.0
003acdd6c226d5c2fa272e55ad9a8d39a82e2b6c2ed504b599c923bc33b29b68,1,1000001.0,1000001.0,1000001,499.0,499.0,499,49.0,49.0,49,1,0,0.0,0.0,0.0
0052e597646ada728a3321aa7a4dc98b9e3f0e2d4215de3b732311c296fd710c,1,75000.0,75000.0,75000,84999.0,84999.0,84999,1249.0,1249.0,1249,1,1,0.0,0.0,0.0
0054486b6689b350b5d20a4d78ac0fe5f8f82e083aa72d0287b6cba75c9b2b82,167,119017.15,30000.0,19875864,104166.68,22499.0,17395836,2141.81,449.0,357683,0,0,0.91,0.0,0.0
0055a3ffa4db31eb7ab3042dc0603aa52c409aad815061a9cf63889f35c94440,8,1000001.0,1000001.0,8000008,999.0,499.0,7992,49.0,49.0,392,1,0,0.0,0.0,0.0
005b231946e0436490095ce46adb4043462c376fb24cf907ff0b59d378a7166e,28,39642.86,30000.0,1110000,18391.86,14999.0,514972,199.0,149.0,5572,1,1,0.0,0.07,0.0
005b7dcff35441472bbdf923c423936bf35cebc4a78547fdc6da426624002b13,1,550.0,550.0,550,4499.0,4499.0,4499,49.0,49.0,49,0,0,0.0,0.0,0.0
00624a36a7dffef0c3a30c1400154289d7a730317f2864d1093c144fb7746d0f,1,1000001.0,1000001.0,1000001,2499.0,2499.0,2499,49.0,49.0,49,1,1,0.0,0.0,0.0
006ecb29dc68fa05288245d618bfc9c5bc3dda148d1845ff272a0548e35225b3,20,1000001.0,1000001.0,20000020,2249.0,2499.0,44980,99.0,49.0,1980,1,1,0.0,1.0,0.0
009685870ab90316a21f178eed0612d95a3d078abbde49fa37503b707d52dbcc,11,206136.45,30000.0,2267501,2771.73,2499.0,30489,49.0,49.0,539,1,1,0.09,0.0,0.0
009a79523797c64152c84240ddcbefb45f0080433f22e95c57be87b9ce46e684,2,300000.0,300000.0,600000,2999.0,2999.0,5998,99.0,99.0,198,1,1,0.0,0.0,0.0
009c04f5fcf08f537e6b7156171274c7aa65c65cf13818878b897faa1a9d18e6,4,30000.0,30000.0,120000,2499.0,1999.0,9996,74.0,49.0,296,1,0,0.0,0.25,0.0
00a05974f4f4d81f7d97b6553db51bf1abc7a9b3c26643180121e9704b3b0c7d,2,1000001.0,1000001.0,2000002,499.0,499.0,998,49.0,49.0,98,1,0,0.0,0.0,0.0
00a3c68ff5742de68f5319c69930c1920bcf51048abcb1ff0e15f53d09b01084,1,30000.0,30000.0,30000,12499.0,12499.0,12499,49.0,49.0,49,1,0,0.0,0.0,0.0
00b4362ca296b282f4321ed97f467d596105bfe3e86f224b2939ba12a3ad39f8,1,1000001.0,1000001.0,1000001,6499.0,6499.0,6499,49.0,49.0,49,1,1,0.0,0.0,0.0
00b4d9a86205a7aae88b281ce141f7f1de3cb351a691ad93c2ba1811114fa84f,55,3000.0,3000.0,165000,2899.0,1499.0,159445,127.18,49.0,6995,1,1,0.0,0.38,0.0
00d27a1e21edba062156aae7d640d489c5692954414d07e3707ae9854cf8bf39,9,698111.56,750000.0,6283004,107665.67,64999.0,968991,1615.67,1249.0,14541,1,1,0.0,0.0,0.0
00e48acc634eb367ffee82600e322ea3a0f2c30444ad3d4d763526e3eb06d73d,4,16500.0,16500.0,66000,10999.0,9999.0,43996,124.0,99.0,496,1,1,0.0,0.0,0.0
00ed0a23ce701ef57e685ffed107f0292931f0b75b68c7aaa54f7b9548851f7e,4,412500.0,300000.0,1650000,3499.0,499.0,13996,74.0,49.0,296,1,0,0.0,0.0,0.0
010880e033363db66ba3bbaf11b6c237ef75a8080291381abd2fdea2ee27de15,4,581250.0,750000.0,2325000,17374.0,1999.0,69496,199.0,99.0,796,1,0,0.0,0.0,0.0
010f011b81d254d1e080d464e747339e7cd07e0d67d7c6017cc17d75f2c1f702,2,1000001.0,1000001.0,2000002,1499.0,1499.0,2998,49.0,49.0,98,1,0,0.0,0.0,0.0
0110b9aaadbf86c085f28a50e4b12c4df972eb14524e2359cc1730f9cae014b2,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,0,0,0.0,0.0,0.0
01160b186323576f805533725eca8be18faf8407892cd727f41b5b54c1eb9d9b,2,525000.0,525000.0,1050000,27499.0,27499.0,54998,249.0,249.0,498,0,1,0.0,0.0,0.0
01231aa94ef742ec3dd6422d3f9f06736c2c21c3ddde56676cddb74aca1919c9,1,1000001.0,1000001.0,1000001,6499.0,6499.0,6499,49.0,49.0,49,0,1,0.0,1.0,0.0
0127cfa53b54ce66753cdd3198e223793ffffd2f59b791a45854d7aa28635eef,8,251025.25,1775.0,2008202,11624.0,499.0,92992,74.0,49.0,592,0,0,0.0,0.12,0.0
01326c66f2ab16caa5ba058a1effd66b05f20a6062c8b21d00d82e247ba713c2,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,1,1,0.0,0.0,0.0
018c7e496b5c4c77464f465002f09bac3d57225dbb47bc301d0db6e82e6ec7cf,155,1000001.0,1000001.0,155000155,1492.55,499.0,231345,61.26,49.0,9495,0,0,0.0,0.0,0.0
019450077abcba5307224d8f4092c41ba4ff595dae5d326578e7915995055804,5,810000.6,1000001.0,4050003,16099.0,12499.0,80495,229.0,149.0,1145,0,0,0.0,0.0,0.0
01b5bff8391f61eb62c6ab94f7dcd62f08698526b177d2538401edd299bdc037,25,1000001.0,1000001.0,25000025,8839.0,3499.0,220975,49.0,49.0,1225,1,0,0.0,0.0,0.0
01b750b0050ed326f3430eafe358e74ca4a39980ca99293e99ee63397612c89f,8,1000001.0,1000001.0,8000008,11749.0,12499.0,93992,149.0,149.0,1192,1,1,0.0,0.0,0.0
01b89957590f09cf2f1dc37eebd53b3c828ae0d27bbec3fea417ef8aac0f3241,5,950000.8,1000001.0,4750004,6499.0,7499.0,32495,89.0,49.0,445,1,0,0.0,0.0,0.0
01e24735d61e6b6b7c581fac95ce5327048c3e40bfe146d0dda8005b41e8da02,3,22500.0,30000.0,67500,15499.0,6499.0,46497,282.33,149.0,847,0,0,0.0,0.0,0.0
01fdd3488e7aa51f7c30e7d7deee074bd38213def657abf30abe22b688b97a40,3,1000001.0,1000001.0,3000003,2499.0,2499.0,7497,49.0,49.0,147,1,1,0.0,0.67,0.0
020dfa95e1f29b7289c10eda9576b2b05c2fa472f0d6284aa8eb48f6d1531075,1,75000.0,75000.0,75000,6499.0,6499.0,6499,49.0,49.0,49,0,0,1.0,0.0,0.0
02210abe605da4ec15d021fe8d199bd2fa7715ee261527f0a30dea9059b5a8da,2,7500.0,7500.0,15000,10999.0,10999.0,21998,99.0,99.0,198,1,1,0.0,0.0,0.0
0228cfce01c7fba48ee9e31a057ace3f4474ff5cebf4733613d46cbf61c75492,9,65000.0,75000.0,585000,20443.44,12499.0,183991,415.67,249.0,3741,1,0,0.0,0.33,0.0
0236c8780cd232bb53a47b288d040bbb203d008eb6171c75d0579ca573405c27,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,0,0,0.0,0.0,0.0
023cb2dd442c0affdddaea8703c60cb967d7e78e4217de2fb16016b0e8473f17,3,676667.33,1000001.0,2030002,2165.67,499.0,6497,49.0,49.0,147,1,1,0.0,0.0,0.0
