Facebook_Id,post_id,Total Interactions,Likes,Comments,Shares,Post Views,advocacy_msg_type_illuminating,issue_msg_type_illuminating,attack_msg_type_illuminating,covid_topic_illuminating,economy_topic_illuminating,education_topic_illuminating,environment_topic_illuminating,incivility_illuminating,fraud_illuminating
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,00cb679a6af4c4551755ae374d496227b8f1fd1d39aec772ef21f4ba0a8f2275,138.0,70,50,10,0.0,1,1,0,0,1,1,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,01244b0adf3dbc10065344e8ee3a0edeac919c4fe74916fa3b78e72d38ffe02e,69.0,43,7,4,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,042c4760c4cc3463680d2c4cc0a27f39a2c0db5133c046bf0d946fc44d6bfedd,110.0,80,23,2,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,04d0c70faaf7cf12d1a1dcabef60fa6128ebd5269e635ad8571e8fec6a05b9c3,14.0,8,2,0,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,0675632827f17d885828bb576c511d7b619cd21ba7e8b800606ce3e02557ebc7,35.0,20,5,2,239.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,0729ebd006cd073fcdc863268501d060a57577f6bcaf2d3babccd7467192f8b1,148.0,87,28,9,0.0,1,1,1,0,1,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,074cba6d6473b33f900ce2fadd1e594d0dd47af1fe61b5d39ffa6ceb08fae42e,53.0,32,10,5,0.0,1,1,0,0,1,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,085f860b6d1138fdcb5415fcfdeffef5771217174500dc4e8a49209f8579bed3,76.0,43,15,6,499.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,0d99ac09a7fb7110036c614059daff97d8fe60986ba5ccf4948cab86b5220b32,70.0,35,19,1,0.0,1,1,1,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,0ee3f053455469027b7203c7ab73895048429d589d95cd475ee54712dee8e645,21.0,11,4,2,274.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,0f668bd321904235d651a707baa6ad2ad3e9718851c347327e348081997a7b87,624.0,434,45,4,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,0fc8024ad23b3172e78602c6b2a076bcbe5b141cdebb0eebed0df2241a902681,27.0,15,2,4,0.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,0fced470c876458756200c2b5f098e92386f48dfcbffcaeb6238128c229c7677,86.0,57,5,9,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,11d895282cb94cc64de65de4ca73aaa966afb0d4524aec95c5ac2c50c5bb63fd,142.0,63,48,1,0.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,128bfebe0e5077781078d3e54b0adc8f5f00cd2b2795cbc5922def177b0d6fb7,49.0,37,7,2,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,12e4ff97e4a9f163483122abe550057c6651eb5d37c4df1335bb5ac6070de051,108.0,84,4,4,0.0,1,1,0,0,1,1,1,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,1345333e3006c64323f936cc0ec4b72bc635c373332110bc04665ddbc6b36ecd,385.0,300,25,2,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,13bb878af769969baeaed3f921b53b4970834f6e53b567b677175bcb78a82ea2,22.0,18,0,2,441.0,1,1,1,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,13dd9f680167f887fcfda3f3b7e0000e082d8f22a0f75a81e86e2ed29e44e24b,125.0,75,25,13,0.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,146e5e24b6b9a449005462bc431351aaafd578f10983f9df8576c03b3d3997da,100.0,53,33,3,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,1535a11124e49c7c1c51ec77b27cc424770e706d5c3d603dfa54d96f65aa1697,50.0,33,6,3,489.0,0,1,1,0,0,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,1a72d35ef6741869c5de31e85d9a0d3e389108b36df3047f0b8d036a092b0a24,40.0,24,7,4,429.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,1bfc3499d10cdc894e822c87d908becb67dca868968413f5102e9a51280d34e4,295.0,174,77,15,0.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,1cea6a3ba6e5e032de0f6246ffcdcaa03cb620fe01787b14c00d5b67379b4142,512.0,453,23,2,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,1f4808a7ee98386c8b15a930dc06fb840c5ea229100b6fe483ff086d75c71df4,87.0,41,27,6,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,1f4ae9ce79b2d9ff965eb1b41ca84c792a07c7cfa6465b040c021fcb520ba8dd,64.0,30,14,8,370.0,0,1,1,0,0,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,1fa7e59db9310a4c7559c77261954416fcf1667bee2163db1db38f25da572e12,33.0,14,8,3,0.0,0,1,1,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,225471c60163a3349163f529a1a9575a887ab8cd41b4ab5bc5565c2f10feb513,257.0,177,26,8,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,23ab1accd695c07e2b91686667f929e00a10fbf2424d4331e1f494eb6c124c7c,46.0,27,8,2,0.0,0,1,1,0,0,0,1,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,24a595418faf3ff493dedac52431900045105e196c447e844a4864a3c77c600d,63.0,41,8,7,638.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2536091084b87d9ec4a740c65dbfa93e323e1cc6f5aeb5c882df0f2b10c909a5,58.0,41,8,1,421.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,255f2132ad897a796042df27ed33baafba4cb23e6058b3f1de3bcaa10cc54499,38.0,31,3,3,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,25b950e3c3aa6d14ab6532a75fd8dc6e4b58f6817cc51936786f1fc42dd082fc,55.0,25,20,4,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,26852fdf80beaef41c04e3f150f1e72ebe94f6fbf24d4bca915d9c1e1c9eaa76,30.0,21,3,4,229.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2779ebeedb759d020ee90b953da6c55dc8945cb45bf4f65121846b5a257f0330,84.0,48,15,5,0.0,1,1,0,0,0,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2815403b0329a7fb443653f1620b92fb3695201da716d48a3e81b1e889c5e631,90.0,46,26,6,0.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,286d32ff3fb988617434d331fd1f956887f65a4014c6a6cbb868f2783c865c50,97.0,26,51,6,775.0,0,1,1,0,0,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2956161dde087fed32b94d6d74db3a9e614cb61333d76ff71cf2db0b8387b720,40.0,16,13,5,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2a0faced78ff2541356dbe9f1b9b4de5699fa2ad88fde3c61e192871a7cfc9e2,27.0,13,6,1,0.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2a67a9499ba3fbd77885ff373b6ab3b3f88a7354383571e956196a583ef57243,41.0,23,8,5,453.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2ae284c58640fca75afcbc2c32d1469ca63e8cc9cf73d994ed3957d5500b40e5,58.0,39,6,2,0.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2bcaa4d26b826e9cf85cae8af9ef297f52ee5c77eb4172723d95a67bef711289,46.0,22,14,4,531.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2d2f102d6f3b95b2ac7b3161f0566c82839dde91d8b8310aa7a3fe3041147de2,37.0,29,5,1,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2e01f175f30f82559e9443df694588decb16d0590373a04f8b1dae82863a0f2b,59.0,27,19,5,382.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2fb90d37cdff1cc53acbb8e3f8cca74660e1f4d4f81d75a48eed1e5350430f88,91.0,40,20,5,732.0,1,1,1,0,0,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,2ffca4d219a74a70943f5063a0f6373920bfa4c7ffb3284f55009fe2782c585e,57.0,17,20,7,0.0,0,1,1,0,0,0,1,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,30fa83c66937f80ebf6253501df774db8a06bda68ed0e292b3e2ae336c1472cb,63.0,47,7,4,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,3431190a337a9e801b88121265a6ccbf2125bf402ce8beff38bc8009c2e3a42a,257.0,166,59,9,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,3504fdc694d67dbc1bbf93aa37047cb82c6baa77eaa8f6125d76e95d10c9d04c,49.0,24,11,2,0.0,0,1,1,0,0,0,1,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,36ca69be521fb8dd37a71bcb0ae484660e6eb8972c25e61354e38812693e4dd2,40.0,17,14,0,491.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,3702631d816c09471625df04741b7dc14c5520fad4a2c0a2ee8174a756b710a7,14.0,9,3,0,141.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,373780521705bfb8a37b2b252398bdd829c0e3210328239b6697c6ba2938061b,141.0,80,33,10,0.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,376f16b2eb8a7b2060c4746a03ae0807f5d9150fa7dcf797e632434922611e04,246.0,116,79,16,4553.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,37ec942a76239f12e9c2d19bf07e62e31b8b09120a9fdab797f6725a92784e7a,397.0,196,110,44,3744.0,0,1,1,0,0,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,3b9959422d63da270685f83426981e7a33ced4bdaf8e924c3800c6eb22009587,32.0,20,8,1,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,3bb8d01bfca40cb84ed0150982d15d38fe1109cea1df82a43f0218471b0d7f0e,101.0,73,13,4,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,3f30f6e6de92d1aea53a8bcdac1c02b06e5285eedd38d833f80c22c95c90e3dc,29.0,19,4,1,198.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,40764db39bfad8d4854e15325108f746eaf3b121cc77b3ddfb40a4d547960e71,36.0,20,7,3,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,4094338492a7d516f023950090d3e753a1cedab376beae81d2fc9812c15a4b98,97.0,75,5,9,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,431e3f8c497c1496886d0928e1db989a5fd4f6d108ab361fbbc3bc5b4025c927,94.0,39,35,7,0.0,1,1,1,0,0,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,43e3f5efa5ba1a5935f03db8f5a576a36cf2b1a1a96e365680aa70a069ce993f,22.0,15,3,0,394.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,43f2a2061d2ace15eafdb2f875ee2c64edb42b282b79348d5ee0b351e2a86c86,174.0,127,16,3,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,443c34e546a1fc2a6ddaccfaa79589056a1bd08b48759ff0ecaf48887bf764b6,73.0,32,25,7,0.0,1,1,1,0,1,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,446ff828594c13c9dd1ed9063397258579851a3cbb16a97633c0b993b68385c1,41.0,23,11,2,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,45603be1c869cf52b0d6cefbe14e10989aeb79e0a680f25e6b67980f72b9e630,127.0,76,27,1,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,45f8e352c5c0552e031809d28b625f31dc088f5e02a60652e7afca2c08b97461,307.0,175,56,28,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,46dc7289dc20b899873d61a119f411df8e43f9e5a4b3e75a6aa062f513997d00,98.0,48,35,3,0.0,1,1,1,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,489ad6d69ddf01fb6895d6e2a0dceea1e680e8352814c5baf3abb6f5c16ac6a2,106.0,77,8,9,0.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,49db1c41224655ad58fee907202c95b3adbd0ccba27c4f7d662d99b9259e37fb,50.0,31,3,8,0.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,4a5f4811b96790baec08f5bb8af2e4fcb352b4e0f0f8994e2e87ea3eaec3f59c,99.0,53,30,7,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,4ae0338031fcfe3f71e2b72639fd341c045a67e134b2e4adba629eaa1a30826d,110.0,63,31,7,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,4b78708f492221eebc2a448fd36c4a8d7b55a11cc10dcbe12f9644388bc2cf43,32.0,15,11,1,0.0,1,1,1,0,0,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,4e6e73b6d226d54877345d71e616f1ec51d94ed6820d35bfe273063b65253bcc,117.0,70,34,7,0.0,1,1,1,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,4f94ebb7b4707c0f7c4e38fc6091723897daada17a53ba1a2734b88c3e043943,52.0,39,5,3,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,53088271eebe3cf82254f7878311b8f0580ca21cd0b94e2e6bb19b26d4cace6c,428.0,254,17,13,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,5699879a8f8374e790e86810b5bfc3c5157eb9fa482d4d6a8f410950c2bd2566,93.0,64,9,7,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,57815e85bbc6a93a80796bd8dcbed97f8d42c3b5d292f92cb74ccb147af40b8d,24.0,9,10,3,221.0,0,1,1,0,0,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,596e6a1e0e9ae7df8e4308f69bcf1197d7b0d4ec7530938522be06459aef6051,135.0,89,19,3,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,59aa1020eb6a40a0d7e8aff8977857d236af515b0555f9a443459c7f4a5af147,99.0,58,23,5,0.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,5aba699f94b0144a7e41ffc3077fb530a3b0c5bff87f50faa9356b3ede72eb41,55.0,34,11,4,327.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,5b7facabda8a3b70cb290a82a92ae3b1f735ac360f4b7fb39e9c5d73f9f4761c,832.0,450,281,12,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,5beeb14782516bbeb1af93aca00c35c20ef6daf3e017536b7ae1a3f876a2a545,113.0,88,8,4,0.0,0,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,5c197dcc45e8bd2a2ca63439d212634b2dbd8b41ecf6420848b1641349076a04,117.0,59,39,5,0.0,1,1,1,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,5d50994be6accdeff69ed178e8e47924a74a70d58260c11123e08cefed2b1c74,50.0,28,8,7,0.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,5da05820b4bc92ace2b2cc9aa5b12bc9a1836adea8daf27fa6d5f1a34a1b2fb5,92.0,49,32,5,0.0,1,1,1,0,0,0,1,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,69a78784a4cf9e1f7a097ad8f7da8af01d6b53a295f077ddc477253105e50694,42.0,26,9,4,0.0,0,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,6c2462b04a62fdfdd064881b3542ed3d8e95071cde5df51dfeab9024f669b04a,153.0,76,60,0,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,6d7d03abc977b1071f5142f3a72af7cf3c2e218f325d3276a5d3d1c91327d5d4,114.0,35,62,3,780.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,6e106ac2c528bbbcae1043de83dd68f4f379c2a8fd75566ff4366d7bc5f70489,57.0,30,14,6,309.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,6e1fa757c9c9a8b1b1f4dbedaee07a2b0de419be71741d61ff66ff04440668a9,30.0,23,4,1,273.0,1,1,1,0,0,0,0,1,0
