source,id,retweetCount,replyCount,likeCount,quoteCount,viewCount,advocacy_msg_type_illuminating,issue_msg_type_illuminating,attack_msg_type_illuminating,covid_topic_illuminating,economy_topic_illuminating,education_topic_illuminating,environment_topic_illuminating,incivility_illuminating,fraud_illuminating
Canva,5b11b20d90740faeeb08c8ad5724fa3ab78a4364d13016665b0c5a4581beec7b,69,324,490,40,41173,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,07c50726e45ecca764dfcfc7ef041227e20308a21cb22327bef29f237d2f576a,117,56,425,7,24975,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,0abf23b6071b786a87d82289e0225eae28c2bcc90beb4a74c338275e578a9650,252,98,1094,25,44472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,0ce7f08a4fdeb2bcc6bf6b43571781f33250dbc633f5edc5937c3b397a3c2770,198,55,651,16,33165,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,10423e69321c4401d801389d1f1c976b53ae8600c21d9f2c0a6a5882c3e6fa0e,71,27,214,2,23602,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,106e7afffa7e0d688cbfee230c15beb9e8bbcec7d92d4bf31668bc1c0e55ba96,217,59,535,20,32166,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,11c520a05d0dd13f93fdca9aecb1f1c729d1c5d7850ea5546a488979d82bc23e,58,8,160,6,52520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,136e3c3fc2f5607edb789a188cd10d97f8ecc596cb4b1fed9ac1797381f85fe7,71,15,176,1,19535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,154295d92e6ca9c4d0c074ee6dbe5099c2d72604374c8a66cb96682bb68da48b,132,25,443,4,68518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,161254ec64e5d686465fd361414592b4ad5127d78a87067907517ab0e9cf58b4,60,14,151,0,21114,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,1c08d2ef8f9d3728558bc12aae93287d771181442c8801b89c27aef73e6214c5,53,13,146,1,13542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,1c9ab59a9b5a29e7f802ce0a1b3824ae8fd4c8b86f4c51b32834d82ef09880cf,94,24,272,5,21788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,1da35b2336442ca6017962b9b58cec5acfa808038f9c689b7e038befce99e102,210,50,659,12,29446,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,1ff90b065b971ae416eea3e1f78951436035199a3c73c707c0954bbe88a845cc,53,16,153,2,17331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,2fec99b5fdb09c42e46ed057da25313f84bd5ab081c8909cc4b6aaad746006fd,74,25,195,3,17937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,30d0a03e39e874e7d658a42b5c6342bd2a6f13deaa8cb1b9ce1730900f002c8a,679,119,1923,44,60097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,35014c01ed0d7ede9d3e66e7a891dc84091328055b3debb2f8098594f0b0a26f,108,41,314,5,19272,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
Hootsuite Inc.,493f80b63b352583cddcfd11edb33d9e1f3e269122851b6cd3db9989d96f688a,73,33,236,5,58917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,494d99eece6a638ae0cf65aaa931f61ae2f65b155c1ef28819418605298243bf,74,27,175,3,24754,,,,,,,,,0
Hootsuite Inc.,49fc7f9284c06acc82561a32b7a2db227b8774aa51a0e24f9e05640a3528ad55,145,47,531,10,27077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,4aa2928514c46f8e651862d7b09aee68b41e2be2c281465537b3d9707d3b4995,47,10,120,3,22617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,4bac33779093a9fc7fbbaa344e51fa685c5fcc7b69867d4fd2aa0f6943c4b685,86,19,234,2,19714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,5354908dccb40525b2d42c46902a86f5a9f39e4c8961af02b2372cab0d0e497f,55,30,137,2,28158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,61a6ba6d91e4d534045170568900dadf85d0aa79709f926276d77d634aa73d21,55,10,306,1,33425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,66e5b9cf3ffd7337a9bc24a3f729e8c7c69e51c55885bf0ef172e8965c1a9e9e,58,15,156,2,19120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,6b6abbf29db2003300b648c07abf6c74299004efe7983d1badf71177003a9d68,83,21,164,4,16042,,,,,,,,,0
Hootsuite Inc.,80418026bd1d26eafcd5e775f764b13a4ecb2f208ff1d1e5a363e2cdeccffad2,780,168,2195,32,55183,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,8248d5bbe5d1277b6bbc36d3c0afad98cbcf32919948a915063b29c6ac6b96d2,168,28,551,11,36554,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Hootsuite Inc.,882eed20cebd9d29b7885a51361d114b39c07208cc39e8a9a6b6f47810644010,63,18,238,2,21526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,9145930813a56048d268a679c0bd5e233294bfc07378383eb8b1a17d2d92fedd,65,14,150,3,19285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
