analysis_type,group_info,column_name,metric,value
Dataset_Info,,BASIC,total_rows,19009
Dataset_Info,,BASIC,total_columns,56
Overall,,Facebook_Id,total_count,19009
Overall,,Facebook_Id,non_null_count,19009
Overall,,Facebook_Id,unique_count,21
Overall,,Facebook_Id,most_frequent_1,32fc18da91029ff09bf74fe9887eace6b5d2145809d583f696e344530508b064:9013
Overall,,Facebook_Id,most_frequent_2,bfe51c6ac2cab17ba5c85883e76f61398031ed57e4cf62d19fd483548ebb904b:1431
Overall,,Facebook_Id,most_frequent_3,ac24f31c4d4b3d5555065fa9558bdca4ab4b5e1379922875ae9e6e32f1d46d25:1231
Overall,,Facebook_Id,most_frequent_4,7f5731ac8e6959576e781064b5fa76e059200cdfc3f4e0d7b68bc98792d2cf5b:1158
Overall,,Facebook_Id,most_frequent_5,a3fa0d15dd83b910295d0b17f9d341e737eddcb8d9b8081758140584c710406e:1074
Overall,,post_id,total_count,19009
Overall,,post_id,non_null_count,19009
Overall,,post_id,unique_count,19009
Overall,,post_id,most_frequent_1,8570b69695e00d8f06b12398ed525497e1712b5369c6fc2138fe98f69811c138:1
Overall,,post_id,most_frequent_2,41ec27cecd8af40007a9faf8c3e5c9225bcff0b8d58856563bbc9d59d7dbb6e6:1
Overall,,post_id,most_frequent_3,1dcb5e00cd1c8d7ee141922f50f29e59e96328231b6937870e87029c97b26377:1
Overall,,post_id,most_frequent_4,3e5e0a047865ab02fe0f49c343963239fe7774b63e8ab6001b6ec18f4d37eeac:1
Overall,,post_id,most_frequent_5,b83adc0e8ac0aedd39f55b72d723729e114a83d41fd48b1b13c7ec782c9a0649:1
Overall,,Page Category,total_count,19009
Overall,,Page Category,non_null_count,16537
Overall,,Page Category,unique_count,6
Overall,,Page Category,most_frequent_1,PERSON:9453
Overall,,Page Category,most_frequent_2,ACTOR:3304
Overall,,Page Category,most_frequent_3,POLITICIAN:2595
Overall,,Page Category,most_frequent_4,POLITICAL_CANDIDATE:1161
Overall,,Page Category,most_frequent_5,ENTREPRENEUR:23
Overall,,Page Admin Top Country,total_count,19009
Overall,,Page Admin Top Country,non_null_count,16280
Overall,,Page Admin Top Country,unique_count,1
Overall,,Page Admin Top Country,most_frequent_1,US:16280
Overall,,Post Created,total_count,19009
Overall,,Post Created,non_null_count,19009
Overall,,Post Created,unique_count,18951
Overall,,Post Created,most_frequent_1,2023-11-14 11:11:44 EST:2
Overall,,Post Created,most_frequent_2,2023-11-22 19:20:24 EST:2
Overall,,Post Created,most_frequent_3,2023-12-22 11:22:14 EST:2
