column,unique_count,most_frequent,most_frequent_count,total_records
page_id,4475,4d66f5853f0365dba032a87704a634f023d15babde973bb7a284ed8cd2707b2d,55503,246745
ad_id,246745,808105264f12fee56bafffa5f10d7e408b0d3d1a12ae96e07406ef785bbe5a05,1,246745
ad_creation_time,547,2024-10-27,8619,246745
bylines,3790,HARRIS FOR PRESIDENT,49788,245736
currency,18,USD,246599,246745
delivery_by_region,141122,{},30989,246745
demographic_distribution,215622,{},30989,246745
publisher_platforms,9,"['facebook', 'instagram']",214434,246745
illuminating_scored_message,26338,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5972,246745
illuminating_mentions,278,[],73205,246745
