analysis_type,group_info,column_name,metric,value
Dataset_Info,,BASIC,total_rows,246745
Dataset_Info,,BASIC,total_columns,41
Overall,,page_id,total_count,246745
Overall,,page_id,non_null_count,246745
Overall,,page_id,unique_count,4475
Overall,,page_id,most_frequent_1,4d66f5853f0365dba032a87704a634f023d15babde973bb7a284ed8cd2707b2d:55503
Overall,,page_id,most_frequent_2,e3342051b60393770363ffc02946a0f76bc3e4155190d1f05fb0277b34bf6480:23988
Overall,,page_id,most_frequent_3,4ade404186269ec62d2dd7d9e0ed5f93a5f32c057516879d627ea9fbd628ef9b:14822
Overall,,page_id,most_frequent_4,330b2f35ded2161e63fbb2b5c5bdae05bff274ff31f990c275d28ce408671ce0:10461
Overall,,page_id,most_frequent_5,ec8ac6dc1cddc49972de2c31b62343fe3979729ec437c3b8d6ffa8915ab1401d:9851
Overall,,ad_id,total_count,246745
Overall,,ad_id,non_null_count,246745
Overall,,ad_id,unique_count,246745
Overall,,ad_id,most_frequent_1,0ddb025b8544e2d58e6977ad417e742a52522b3e1fc1c9d9b61c57148f8d72fc:1
Overall,,ad_id,most_frequent_2,86229868e6bde3661724fe02da93504bb4fb5da8c2550d7b7cf193c687e89fa6:1
Overall,,ad_id,most_frequent_3,07b5aefc27e872e971f793e49aac38496fa62e484f3928e2b6a2b6e3e08cac8d:1
Overall,,ad_id,most_frequent_4,c62978153c04116d88ead49379916855f2cb58bf788631f26f3f1fcb2962ad48:1
Overall,,ad_id,most_frequent_5,785e91ef18a5794565af03a6df4e7077fe1d915bfb34025019f3d42f43fcf9e8:1
Overall,,ad_creation_time,total_count,246745
Overall,,ad_creation_time,non_null_count,246745
Overall,,ad_creation_time,unique_count,547
Overall,,ad_creation_time,most_frequent_1,2024-10-27:8619
Overall,,ad_creation_time,most_frequent_2,2024-10-28:7356
Overall,,ad_creation_time,most_frequent_3,2024-10-26:6414
Overall,,ad_creation_time,most_frequent_4,2024-10-23:5021
Overall,,ad_creation_time,most_frequent_5,2024-10-25:4769
Overall,,bylines,total_count,246745
Overall,,bylines,non_null_count,245736
Overall,,bylines,unique_count,3790
Overall,,bylines,most_frequent_1,HARRIS FOR PRESIDENT:49788
Overall,,bylines,most_frequent_2,HARRIS VICTORY FUND:32612
Overall,,bylines,most_frequent_3,BIDEN VICTORY FUND:15539
Overall,,bylines,most_frequent_4,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.:15112"
Overall,,bylines,most_frequent_5,Trump National Committee JFC:7279
Overall,,currency,total_count,246745
Overall,,currency,non_null_count,246745
Overall,,currency,unique_count,18
Overall,,currency,most_frequent_1,USD:246599
Overall,,currency,most_frequent_2,INR:63
Overall,,currency,most_frequent_3,GBP:17
Overall,,currency,most_frequent_4,EUR:11
Overall,,currency,most_frequent_5,PKR:8
Overall,,delivery_by_region,total_count,246745
Overall,,delivery_by_region,non_null_count,246745
Overall,,delivery_by_region,unique_count,141122
Overall,,delivery_by_region,most_frequent_1,{}:30989
Overall,,delivery_by_region,most_frequent_2,"{'Georgia': {'spend': 49, 'impressions': 499}}:2307"
Overall,,delivery_by_region,most_frequent_3,"{'Arizona': {'spend': 49, 'impressions': 499}}:2020"
Overall,,delivery_by_region,most_frequent_4,"{'Pennsylvania': {'spend': 49, 'impressions': 499}}:1912"
Overall,,delivery_by_region,most_frequent_5,"{'Nevada': {'spend': 49, 'impressions': 499}}:1870"
Overall,,demographic_distribution,total_count,246745
Overall,,demographic_distribution,non_null_count,246745
Overall,,demographic_distribution,unique_count,215622
Overall,,demographic_distribution,most_frequent_1,{}:30989
Overall,,demographic_distribution,most_frequent_2,"{'female_65+': {'spend': 49, 'impressions': 499}}:44"
Overall,,demographic_distribution,most_frequent_3,"{'male_65+': {'spend': 49, 'impressions': 499}}:24"
Overall,,demographic_distribution,most_frequent_4,"{'female_65+': {'spend': 49, 'impressions': 1499}}:13"
Overall,,demographic_distribution,most_frequent_5,"{'female_65+': {'spend': 49, 'impressions': 2499}}:12"
Overall,,estimated_audience_size,total_count,246745
Overall,,estimated_audience_size,non_null_count,246745
Overall,,estimated_audience_size,mean,556462.8559687126
Overall,,estimated_audience_size,min,0.0
Overall,,estimated_audience_size,max,1000001.0
Overall,,estimated_audience_size,std,409864.75882290734
Overall,,estimated_impressions,total_count,246745
Overall,,estimated_impressions,non_null_count,246745
Overall,,estimated_impressions,mean,45601.52595189366
Overall,,estimated_impressions,min,499.0
Overall,,estimated_impressions,max,1000000.0
Overall,,estimated_impressions,std,136790.76990104263
Overall,,estimated_spend,total_count,246745
Overall,,estimated_spend,non_null_count,246745
Overall,,estimated_spend,mean,1061.2914344768892
Overall,,estimated_spend,min,49.0
Overall,,estimated_spend,max,474999.0
Overall,,estimated_spend,std,4992.560748793634
Overall,,publisher_platforms,total_count,246745
Overall,,publisher_platforms,non_null_count,246745
Overall,,publisher_platforms,unique_count,9
Overall,,publisher_platforms,most_frequent_1,"['facebook', 'instagram']:214434"
Overall,,publisher_platforms,most_frequent_2,['facebook']:23259
Overall,,publisher_platforms,most_frequent_3,['instagram']:8395
Overall,,publisher_platforms,most_frequent_4,"['facebook', 'instagram', 'audience_network', 'messenger']:459"
Overall,,publisher_platforms,most_frequent_5,"['facebook', 'instagram', 'audience_network']:79"
Overall,,illuminating_scored_message,total_count,246745
Overall,,illuminating_scored_message,non_null_count,246745
Overall,,illuminating_scored_message,unique_count,26338
