analysis_type,group_info,column_name,metric,value
Dataset_Info,,BASIC,total_rows,27304
Dataset_Info,,BASIC,total_columns,47
Overall,,id,total_count,27304
Overall,,id,non_null_count,27304
Overall,,id,unique_count,27304
Overall,,id,most_frequent_1,cc46051622b8a9c1b883a3bbf12c640b12ac1cbdc7f48a773b6cc2a65f03aa2d:1
Overall,,id,most_frequent_2,0e3db0c35a290c6df3b737d15882846c108cc80a9b7e5ca64a0129d4e3cd3ad7:1
Overall,,id,most_frequent_3,256905919085d2946d5d187abc6cbe81a8abe3384793b362fa6aa4144bf42776:1
Overall,,id,most_frequent_4,a461b32b31e72b222df7fdda0a8e68b0092e31deda33a8652eb443459546a4c4:1
Overall,,id,most_frequent_5,ca2795ec79d62adc1fff06c4d3bc9da0bbc899e32c9b218798ac62a0ceae19dc:1
Overall,,url,total_count,27304
Overall,,url,non_null_count,27304
Overall,,url,unique_count,27304
Overall,,url,most_frequent_1,f70a206472e9deaf6e313297c1efb891729ced346a0aeb34e16935d78f74b937:1
Overall,,url,most_frequent_2,a1962f54943732a0dc006c33b4b6f5764c7085a1282a59439b891ee0eb59a0dc:1
Overall,,url,most_frequent_3,4ddbbdb7f4d8ef62fccf3ed20c993bb665b8620fedb089e81b43c0c7bc0c613e:1
Overall,,url,most_frequent_4,c7e729c427e714baf06d88a2856a1be07d4ff52e1e633412ce15b0160e8f6c38:1
Overall,,url,most_frequent_5,c589bd751d7e1d275901b184087716d3155a582b16430810211e1344d3ad2785:1
Overall,,source,total_count,27304
Overall,,source,non_null_count,27304
Overall,,source,unique_count,14
Overall,,source,most_frequent_1,Twitter Web App:14930
Overall,,source,most_frequent_2,Twitter for iPhone:8494
Overall,,source,most_frequent_3,Sprout Social:2933
Overall,,source,most_frequent_4,Twitter Media Studio:499
Overall,,source,most_frequent_5,Twitter for iPad:266
Overall,,retweetCount,total_count,27304
Overall,,retweetCount,non_null_count,27304
Overall,,retweetCount,mean,1322.0551933782597
Overall,,retweetCount,min,0.0
Overall,,retweetCount,max,144615.0
Overall,,retweetCount,std,3405.0042401645187
Overall,,replyCount,total_count,27304
Overall,,replyCount,non_null_count,27304
Overall,,replyCount,mean,1063.7850131848813
Overall,,replyCount,min,0.0
Overall,,replyCount,max,121270.0
Overall,,replyCount,std,3174.981654139348
Overall,,likeCount,total_count,27304
Overall,,likeCount,non_null_count,27304
Overall,,likeCount,mean,6913.69282888954
Overall,,likeCount,min,0.0
Overall,,likeCount,max,915221.0
Overall,,likeCount,std,21590.307989209447
Overall,,quoteCount,total_count,27304
Overall,,quoteCount,non_null_count,27304
Overall,,quoteCount,mean,128.08156314093173
Overall,,quoteCount,min,0.0
Overall,,quoteCount,max,123320.0
Overall,,quoteCount,std,1131.5334680019284
Overall,,viewCount,total_count,27304
Overall,,viewCount,non_null_count,27304
Overall,,viewCount,mean,507084.7318341635
Overall,,viewCount,min,5.0
Overall,,viewCount,max,333502775.0
Overall,,viewCount,std,3212173.986296655
Overall,,createdAt,total_count,27304
Overall,,createdAt,non_null_count,27304
Overall,,createdAt,unique_count,27014
Overall,,createdAt,most_frequent_1,2023-10-06 04:55:21:4
Overall,,createdAt,most_frequent_2,2024-05-28 17:19:24:4
Overall,,createdAt,most_frequent_3,2024-08-30 03:04:08:4
Overall,,createdAt,most_frequent_4,2023-09-08 16:19:09:3
Overall,,createdAt,most_frequent_5,2023-09-08 16:19:04:3
Overall,,lang,total_count,27304
Overall,,lang,non_null_count,27304
Overall,,lang,unique_count,12
Overall,,lang,most_frequent_1,en:27281
Overall,,lang,most_frequent_2,fr:6
Overall,,lang,most_frequent_3,tl:4
Overall,,lang,most_frequent_4,es:3
Overall,,lang,most_frequent_5,da:3
Overall,,bookmarkCount,total_count,27304
Overall,,bookmarkCount,non_null_count,27304
Overall,,bookmarkCount,mean,136.21352182830356
Overall,,bookmarkCount,min,0.0
Overall,,bookmarkCount,max,42693.0
Overall,,bookmarkCount,std,712.5802944831519
Overall,,isReply,total_count,27304
Overall,,isReply,non_null_count,27304
Overall,,isReply,unique_count,2
Overall,,isReply,most_frequent_1,False:23930
Overall,,isReply,most_frequent_2,True:3374
Overall,,isRetweet,total_count,27304
Overall,,isRetweet,non_null_count,27304
Overall,,isRetweet,unique_count,1
Overall,,isRetweet,most_frequent_1,False:27304
Overall,,isQuote,total_count,27304
Overall,,isQuote,non_null_count,27304
Overall,,isQuote,unique_count,2
Overall,,isQuote,most_frequent_1,False:24064
Overall,,isQuote,most_frequent_2,True:3240
Overall,,isConversationControlled,total_count,27304
Overall,,isConversationControlled,non_null_count,27304
Overall,,isConversationControlled,unique_count,2
Overall,,isConversationControlled,most_frequent_1,False:27296
Overall,,isConversationControlled,most_frequent_2,True:8
Overall,,quoteId,total_count,27304
Overall,,quoteId,non_null_count,3287
Overall,,quoteId,unique_count,3159
Overall,,quoteId,most_frequent_1,1.711730672279122e+18:5
Overall,,quoteId,most_frequent_2,1.7659161677373445e+18:5
Overall,,quoteId,most_frequent_3,1.7731398481085975e+18:4
Overall,,quoteId,most_frequent_4,1.7148274152418675e+18:3
Overall,,quoteId,most_frequent_5,1.7352284527672366e+18:3
Overall,,inReplyToId,total_count,27304
Overall,,inReplyToId,non_null_count,3345
Overall,,inReplyToId,unique_count,3309
Overall,,inReplyToId,most_frequent_1,1.7444996006715807e+18:6
Overall,,inReplyToId,most_frequent_2,1.7289763100040315e+18:3
Overall,,inReplyToId,most_frequent_3,1.7617956312223255e+18:3
Overall,,inReplyToId,most_frequent_4,1.789104982999876e+18:3
Overall,,inReplyToId,most_frequent_5,1.704189712754234e+18:2
Overall,,month_year,total_count,27304
Overall,,month_year,non_null_count,27304
Overall,,month_year,unique_count,15
Overall,,month_year,most_frequent_1,2024-10:3586
Overall,,month_year,most_frequent_2,2024-09:2856
Overall,,month_year,most_frequent_3,2024-08:2647
Overall,,month_year,most_frequent_4,2023-09:2336
Overall,,month_year,most_frequent_5,2023-11:2334
Overall,,illuminating_scored_message,total_count,27304
Overall,,illuminating_scored_message,non_null_count,27304
Overall,,illuminating_scored_message,unique_count,27136
Overall,,illuminating_scored_message,most_frequent_1,36cb7d55fcf85362ca03f624c2f574f1f55f89db559b17da084df6e643afe5cd:21
Overall,,illuminating_scored_message,most_frequent_2,1d2cc25fad0d66a295d4fafdd590d71d0e027a1d2a58cf5db0c58ba09b930e04:18
Overall,,illuminating_scored_message,most_frequent_3,e85b31153cfcc753f8657eb033c8e8fb03f6da4c384da1d4e563eef696f6e7a0:10
Overall,,illuminating_scored_message,most_frequent_4,c3adbeed65888d91e375c51dc9cc936d137e35fc360ebed1763b5826903046f9:7
Overall,,illuminating_scored_message,most_frequent_5,de3c2805b2cea354c20c7fe117fc9c1885c9aea23ca9d1623d93d7c56df7a9bb:4
Overall,,election_integrity_Truth_illuminating,total_count,27304
Overall,,election_integrity_Truth_illuminating,non_null_count,26034
